"","session_id","blockOrder"
"1",9851595,"High Trait First"
"2",9851612,"Low Trait First"
"3",9851616,"High Trait First"
"4",9851619,"Low Trait First"
"5",9851642,"High Trait First"
"6",9851676,"High Trait First"
"7",9851689,"High Trait First"
"8",9851841,"Low Trait First"
"9",9851856,"High Trait First"
"10",9851931,"Low Trait First"
"11",9851979,"Low Trait First"
"12",9852149,"Low Trait First"
"13",9852155,"High Trait First"
"14",9852163,"Low Trait First"
"15",9852376,"Low Trait First"
"16",9852384,"High Trait First"
"17",9852400,"Low Trait First"
"18",9852434,"Low Trait First"
"19",9852473,"High Trait First"
"20",9852487,"Low Trait First"
"21",9852763,"Low Trait First"
"22",9852818,"High Trait First"
"23",9853006,"Low Trait First"
"24",9853086,"Low Trait First"
"25",9853106,"High Trait First"
"26",9853322,"High Trait First"
"27",9853386,"Low Trait First"
"28",9853587,"Low Trait First"
"29",9853589,"High Trait First"
"30",9853931,"High Trait First"
"31",9854003,"Low Trait First"
"32",9854139,"Low Trait First"
"33",9854196,"High Trait First"
"34",9854266,"High Trait First"
"35",9854274,"High Trait First"
"36",9854467,"High Trait First"
"37",9854756,"High Trait First"
"38",9854791,"Low Trait First"
"39",9854794,"Low Trait First"
"40",9854806,"High Trait First"
"41",9854858,"Low Trait First"
"42",9854874,"Low Trait First"
"43",9854934,"Low Trait First"
"44",9854958,"High Trait First"
"45",9854984,"High Trait First"
"46",9855002,"Low Trait First"
"47",9855027,"Low Trait First"
"48",9855095,"Low Trait First"
"49",9855125,"High Trait First"
"50",9855187,"High Trait First"
"51",9855208,"High Trait First"
"52",9855248,"Low Trait First"
"53",9855251,"High Trait First"
"54",9855420,"High Trait First"
"55",9855430,"High Trait First"
"56",9855460,"High Trait First"
"57",9855505,"Low Trait First"
"58",9855507,"Low Trait First"
"59",9855517,"Low Trait First"
"60",9855559,"Low Trait First"
"61",9855631,"High Trait First"
"62",9855657,"Low Trait First"
"63",9855703,"High Trait First"
"64",9855774,"High Trait First"
"65",9855786,"High Trait First"
"66",9855975,"Low Trait First"
"67",9855977,"Low Trait First"
"68",9856040,"Low Trait First"
"69",9856069,"High Trait First"
"70",9856136,"High Trait First"
"71",9856191,"High Trait First"
"72",9856217,"Low Trait First"
"73",9856280,"Low Trait First"
"74",9856368,"Low Trait First"
"75",9856382,"Low Trait First"
"76",9856520,"Low Trait First"
"77",9856537,"High Trait First"
"78",9856548,"Low Trait First"
"79",9856551,"High Trait First"
"80",9856569,"Low Trait First"
"81",9856612,"Low Trait First"
"82",9856629,"High Trait First"
"83",9856825,"High Trait First"
"84",9856857,"High Trait First"
"85",9856891,"High Trait First"
"86",9856893,"High Trait First"
"87",9856899,"High Trait First"
"88",9856929,"High Trait First"
"89",9856939,"High Trait First"
"90",9856972,"High Trait First"
"91",9856982,"High Trait First"
"92",9857089,"Low Trait First"
"93",9857107,"High Trait First"
"94",9857295,"Low Trait First"
"95",9857351,"High Trait First"
"96",9857365,"Low Trait First"
"97",9857385,"Low Trait First"
"98",9857544,"High Trait First"
"99",9857767,"Low Trait First"
"100",9857849,"Low Trait First"
"101",9857874,"Low Trait First"
"102",9857959,"High Trait First"
"103",9857977,"Low Trait First"
"104",9858057,"Low Trait First"
"105",9858082,"Low Trait First"
"106",9858094,"Low Trait First"
"107",9858149,"Low Trait First"
"108",9858184,"High Trait First"
"109",9858373,"Low Trait First"
"110",9858422,"High Trait First"
"111",9858478,"High Trait First"
"112",9858532,"High Trait First"
"113",9858588,"Low Trait First"
"114",9858616,"High Trait First"
"115",9858648,"High Trait First"
"116",9858649,"High Trait First"
"117",9858663,"High Trait First"
"118",9858690,"Low Trait First"
"119",9858806,"High Trait First"
"120",9858808,"High Trait First"
"121",9858929,"High Trait First"
"122",9858953,"High Trait First"
"123",9859090,"Low Trait First"
"124",9859159,"High Trait First"
"125",9859221,"Low Trait First"
"126",9859244,"High Trait First"
"127",9859251,"High Trait First"
"128",9859385,"High Trait First"
"129",9859417,"Low Trait First"
"130",9859447,"Low Trait First"
"131",9859556,"Low Trait First"
"132",9859626,"High Trait First"
"133",9859695,"High Trait First"
"134",9859885,"Low Trait First"
"135",9859887,"High Trait First"
"136",9859896,"High Trait First"
"137",9859920,"High Trait First"
"138",9860049,"High Trait First"
"139",9860066,"Low Trait First"
"140",9860396,"High Trait First"
"141",9860398,"High Trait First"
"142",9860585,"Low Trait First"
"143",9860663,"Low Trait First"
"144",9860713,"Low Trait First"
"145",9860738,"High Trait First"
"146",9860800,"Low Trait First"
"147",9860802,"High Trait First"
"148",9860803,"Low Trait First"
"149",9860875,"Low Trait First"
"150",9860908,"High Trait First"
"151",9861025,"High Trait First"
"152",9861037,"High Trait First"
"153",9861066,"High Trait First"
"154",9861125,"Low Trait First"
"155",9861191,"Low Trait First"
"156",9861198,"Low Trait First"
"157",9861226,"Low Trait First"
"158",9861314,"High Trait First"
"159",9861363,"Low Trait First"
"160",9861420,"High Trait First"
"161",9861451,"Low Trait First"
"162",9861554,"Low Trait First"
"163",9861632,"High Trait First"
"164",9861715,"High Trait First"
"165",9861852,"High Trait First"
"166",9861868,"High Trait First"
"167",9861869,"High Trait First"
"168",9861996,"High Trait First"
"169",9862039,"High Trait First"
"170",9862074,"High Trait First"
"171",9862081,"High Trait First"
"172",9862125,"Low Trait First"
"173",9862138,"Low Trait First"
"174",9862300,"High Trait First"
"175",9862332,"Low Trait First"
"176",9862339,"High Trait First"
"177",9862358,"Low Trait First"
"178",9862428,"High Trait First"
"179",9862499,"Low Trait First"
"180",9862515,"Low Trait First"
"181",9862555,"Low Trait First"
"182",9862614,"Low Trait First"
"183",9862704,"Low Trait First"
"184",9862820,"Low Trait First"
"185",9862985,"High Trait First"
"186",9863006,"Low Trait First"
"187",9863039,"High Trait First"
"188",9863070,"High Trait First"
"189",9863143,"High Trait First"
"190",9863211,"Low Trait First"
"191",9863218,"Low Trait First"
"192",9863261,"Low Trait First"
"193",9863293,"High Trait First"
"194",9863365,"Low Trait First"
"195",9863370,"High Trait First"
"196",9863410,"Low Trait First"
"197",9863558,"Low Trait First"
"198",9863563,"Low Trait First"
"199",9863566,"High Trait First"
"200",9863585,"High Trait First"
"201",9863595,"Low Trait First"
"202",9863626,"High Trait First"
"203",9863711,"Low Trait First"
"204",9863724,"High Trait First"
"205",9863892,"Low Trait First"
"206",9864073,"High Trait First"
"207",9864127,"High Trait First"
"208",9864141,"High Trait First"
"209",9864142,"High Trait First"
"210",9864188,"Low Trait First"
"211",9864259,"High Trait First"
"212",9864277,"High Trait First"
"213",9864311,"High Trait First"
"214",9864455,"High Trait First"
"215",9864493,"High Trait First"
"216",9864546,"High Trait First"
"217",9864622,"Low Trait First"
"218",9864674,"High Trait First"
"219",9864748,"Low Trait First"
"220",9864755,"Low Trait First"
"221",9864840,"High Trait First"
"222",9864921,"High Trait First"
"223",9864954,"Low Trait First"
"224",9864979,"Low Trait First"
"225",9864998,"High Trait First"
"226",9865073,"Low Trait First"
"227",9865096,"Low Trait First"
"228",9865183,"Low Trait First"
"229",9865228,"Low Trait First"
"230",9865238,"Low Trait First"
"231",9865252,"High Trait First"
"232",9865267,"Low Trait First"
"233",9865275,"High Trait First"
"234",9865321,"High Trait First"
"235",9865354,"High Trait First"
"236",9865362,"High Trait First"
"237",9865369,"High Trait First"
"238",9865384,"Low Trait First"
"239",9865389,"High Trait First"
"240",9865401,"Low Trait First"
"241",9865426,"Low Trait First"
"242",9865477,"Low Trait First"
"243",9865537,"High Trait First"
"244",9865549,"High Trait First"
"245",9865679,"High Trait First"
"246",9866016,"High Trait First"
"247",9866128,"High Trait First"
"248",9866188,"High Trait First"
"249",9866262,"Low Trait First"
"250",9866319,"Low Trait First"
"251",9866339,"High Trait First"
"252",9866360,"High Trait First"
"253",9866363,"High Trait First"
"254",9866399,"High Trait First"
"255",9866485,"High Trait First"
"256",9866611,"Low Trait First"
"257",9866655,"High Trait First"
"258",9866678,"High Trait First"
"259",9866812,"Low Trait First"
"260",9867276,"High Trait First"
"261",9867306,"High Trait First"
"262",9867421,"Low Trait First"
"263",9867701,"High Trait First"
"264",9867740,"High Trait First"
"265",9867785,"High Trait First"
"266",9867824,"High Trait First"
"267",9867847,"High Trait First"
"268",9867952,"High Trait First"
"269",9868027,"Low Trait First"
"270",9868071,"Low Trait First"
"271",9868120,"Low Trait First"
"272",9868324,"High Trait First"
"273",9868326,"Low Trait First"
"274",9868457,"High Trait First"
"275",9868478,"High Trait First"
"276",9868551,"High Trait First"
"277",9868639,"Low Trait First"
"278",9868707,"High Trait First"
"279",9868720,"Low Trait First"
"280",9868787,"High Trait First"
"281",9868819,"Low Trait First"
"282",9868969,"High Trait First"
"283",9868976,"Low Trait First"
"284",9869000,"Low Trait First"
"285",9869025,"Low Trait First"
"286",9869066,"High Trait First"
"287",9869142,"High Trait First"
"288",9869212,"High Trait First"
"289",9869311,"Low Trait First"
"290",9869312,"High Trait First"
"291",9869313,"High Trait First"
"292",9869421,"High Trait First"
"293",9869472,"High Trait First"
"294",9869522,"Low Trait First"
"295",9869577,"Low Trait First"
"296",9869600,"High Trait First"
"297",9869615,"Low Trait First"
"298",9869660,"High Trait First"
"299",9869691,"Low Trait First"
"300",9869765,"Low Trait First"
"301",9869766,"Low Trait First"
"302",9869773,"Low Trait First"
"303",9869786,"Low Trait First"
"304",9869822,"High Trait First"
"305",9869936,"High Trait First"
"306",9869991,"High Trait First"
"307",9870002,"High Trait First"
"308",9870020,"High Trait First"
"309",9870031,"High Trait First"
"310",9870118,"High Trait First"
"311",9870168,"High Trait First"
"312",9870187,"Low Trait First"
"313",9870306,"Low Trait First"
"314",9870346,"High Trait First"
"315",9870358,"Low Trait First"
"316",9870393,"High Trait First"
"317",9870515,"Low Trait First"
"318",9870521,"Low Trait First"
"319",9870722,"Low Trait First"
"320",9870733,"High Trait First"
"321",9871099,"Low Trait First"
"322",9871142,"High Trait First"
"323",9871208,"Low Trait First"
"324",9871235,"Low Trait First"
"325",9871298,"High Trait First"
"326",9871374,"High Trait First"
"327",9871511,"High Trait First"
"328",9871540,"Low Trait First"
"329",9871547,"High Trait First"
"330",9871636,"Low Trait First"
"331",9871678,"Low Trait First"
"332",9871692,"High Trait First"
"333",9871712,"High Trait First"
"334",9871750,"High Trait First"
"335",9871937,"Low Trait First"
"336",9871982,"High Trait First"
"337",9872012,"Low Trait First"
"338",9872018,"High Trait First"
"339",9872041,"Low Trait First"
"340",9872135,"High Trait First"
"341",9872142,"High Trait First"
"342",9872215,"High Trait First"
"343",9872222,"Low Trait First"
"344",9872503,"High Trait First"
"345",9872521,"Low Trait First"
"346",9872544,"Low Trait First"
"347",9872568,"Low Trait First"
"348",9872576,"Low Trait First"
"349",9872678,"High Trait First"
"350",9872680,"High Trait First"
"351",9872769,"Low Trait First"
"352",9872901,"High Trait First"
"353",9872903,"Low Trait First"
"354",9872904,"Low Trait First"
"355",9872935,"High Trait First"
"356",9872960,"High Trait First"
"357",9873029,"Low Trait First"
"358",9873158,"Low Trait First"
"359",9873198,"High Trait First"
"360",9873266,"Low Trait First"
"361",9873602,"Low Trait First"
