"","session_id","blockOrder.SC"
"1",10458846,"High Trait First"
"2",10461459,"High Trait First"
"3",10461523,"Low Trait First"
"4",10475013,"Low Trait First"
"5",10477279,"Low Trait First"
"6",10479167,"Low Trait First"
"7",10482519,"High Trait First"
"8",10482663,"High Trait First"
"9",10493439,"High Trait First"
"10",10494853,"High Trait First"
"11",10499385,"Low Trait First"
"12",10499387,"Low Trait First"
"13",10499907,"Low Trait First"
"14",10502013,"Low Trait First"
"15",10506783,"High Trait First"
"16",10508518,"High Trait First"
"17",10509120,"High Trait First"
"18",10509125,"Low Trait First"
"19",10509335,"Low Trait First"
"20",10510330,"Low Trait First"
"21",10511921,"High Trait First"
"22",10512571,"Low Trait First"
"23",10514998,"Low Trait First"
"24",10519322,"High Trait First"
"25",10520966,"Low Trait First"
"26",10521278,"Low Trait First"
"27",10521316,"Low Trait First"
"28",10521339,"High Trait First"
"29",10521843,"High Trait First"
"30",10521888,"Low Trait First"
"31",10522210,"Low Trait First"
"32",10523060,"High Trait First"
"33",10523187,"Low Trait First"
"34",10525171,"Low Trait First"
"35",10525262,"Low Trait First"
"36",10525280,"Low Trait First"
"37",10525339,"High Trait First"
"38",10525343,"Low Trait First"
"39",10525378,"Low Trait First"
"40",10525401,"High Trait First"
"41",10527180,"High Trait First"
"42",10527198,"High Trait First"
"43",10527214,"High Trait First"
"44",10527233,"Low Trait First"
"45",10527243,"High Trait First"
"46",10527280,"Low Trait First"
"47",10527317,"Low Trait First"
"48",10529781,"High Trait First"
"49",10529828,"Low Trait First"
"50",10529860,"High Trait First"
"51",10534095,"High Trait First"
"52",10538295,"High Trait First"
"53",10538314,"High Trait First"
"54",10538345,"Low Trait First"
"55",10538354,"Low Trait First"
"56",10538381,"High Trait First"
"57",10538383,"Low Trait First"
"58",10540368,"Low Trait First"
"59",10540370,"High Trait First"
"60",10540396,"High Trait First"
"61",10540400,"High Trait First"
"62",10540470,"Low Trait First"
"63",10540477,"High Trait First"
"64",10540510,"High Trait First"
"65",10540524,"Low Trait First"
"66",10540591,"High Trait First"
"67",10540596,"Low Trait First"
"68",10541089,"High Trait First"
"69",10542160,"Low Trait First"
"70",10542165,"High Trait First"
"71",10542175,"Low Trait First"
"72",10542183,"Low Trait First"
"73",10542509,"High Trait First"
"74",10543703,"High Trait First"
"75",10544934,"Low Trait First"
"76",10544949,"Low Trait First"
"77",10545182,"High Trait First"
"78",10545342,"Low Trait First"
"79",10545362,"Low Trait First"
"80",10545691,"Low Trait First"
"81",10545791,"High Trait First"
"82",10546792,"Low Trait First"
"83",10547943,"High Trait First"
"84",10551749,"Low Trait First"
"85",10551805,"High Trait First"
"86",10551908,"High Trait First"
"87",10551952,"Low Trait First"
"88",10551958,"Low Trait First"
"89",10553111,"Low Trait First"
"90",10554684,"High Trait First"
"91",10556654,"High Trait First"
"92",10556770,"High Trait First"
"93",10558238,"High Trait First"
"94",10558655,"Low Trait First"
"95",10558754,"High Trait First"
"96",10559286,"Low Trait First"
"97",10559389,"Low Trait First"
"98",10560555,"High Trait First"
"99",10560565,"High Trait First"
"100",10560616,"Low Trait First"
"101",10560619,"High Trait First"
"102",10560652,"High Trait First"
"103",10560661,"Low Trait First"
"104",10560707,"High Trait First"
"105",10560731,"High Trait First"
"106",10560882,"Low Trait First"
"107",10562842,"Low Trait First"
"108",10565025,"Low Trait First"
"109",10565033,"High Trait First"
"110",10565095,"High Trait First"
"111",10565149,"High Trait First"
"112",10565188,"Low Trait First"
"113",10567254,"Low Trait First"
"114",10567262,"High Trait First"
"115",10567348,"High Trait First"
"116",10567366,"Low Trait First"
"117",10572893,"High Trait First"
"118",10572894,"High Trait First"
"119",10572910,"High Trait First"
"120",10572916,"High Trait First"
"121",10572933,"Low Trait First"
"122",10572937,"High Trait First"
"123",10572954,"Low Trait First"
"124",10572955,"Low Trait First"
"125",10572988,"Low Trait First"
"126",10576844,"High Trait First"
"127",10576853,"Low Trait First"
"128",10576891,"High Trait First"
"129",10576915,"High Trait First"
"130",10576918,"Low Trait First"
"131",10577103,"High Trait First"
"132",10577129,"Low Trait First"
"133",10577240,"High Trait First"
"134",10578649,"High Trait First"
"135",10578683,"High Trait First"
"136",10578684,"Low Trait First"
"137",10578704,"Low Trait First"
"138",10583205,"Low Trait First"
"139",10583354,"Low Trait First"
"140",10583589,"Low Trait First"
"141",10583842,"Low Trait First"
"142",10584079,"High Trait First"
"143",10584383,"High Trait First"
"144",10585275,"High Trait First"
"145",10587275,"Low Trait First"
"146",10587309,"High Trait First"
"147",10587324,"Low Trait First"
"148",10589032,"Low Trait First"
"149",10589605,"High Trait First"
"150",10592439,"High Trait First"
"151",10594061,"Low Trait First"
"152",10594186,"Low Trait First"
"153",10594295,"High Trait First"
"154",10594607,"High Trait First"
"155",10595859,"High Trait First"
"156",10597767,"Low Trait First"
"157",10598767,"Low Trait First"
"158",10599599,"High Trait First"
"159",10599831,"Low Trait First"
"160",10600387,"High Trait First"
"161",10609310,"High Trait First"
"162",10610980,"High Trait First"
"163",10611021,"Low Trait First"
"164",10613835,"High Trait First"
"165",10624206,"Low Trait First"
"166",10626908,"High Trait First"
"167",10632367,"Low Trait First"
"168",10634249,"High Trait First"
"169",10634726,"High Trait First"
"170",10637507,"High Trait First"
"171",10641298,"High Trait First"
"172",10642309,"High Trait First"
"173",10645187,"Low Trait First"
"174",10645950,"Low Trait First"
"175",10646275,"Low Trait First"
"176",10646384,"High Trait First"
"177",10646681,"High Trait First"
"178",10646728,"Low Trait First"
"179",10646867,"High Trait First"
"180",10650725,"Low Trait First"
"181",10657181,"Low Trait First"
"182",10657258,"High Trait First"
"183",10657529,"High Trait First"
"184",10657562,"Low Trait First"
"185",10657956,"High Trait First"
"186",10658164,"High Trait First"
"187",10659019,"High Trait First"
"188",10663088,"High Trait First"
"189",10663129,"High Trait First"
"190",10663237,"High Trait First"
"191",10663276,"High Trait First"
"192",10663498,"Low Trait First"
"193",10669475,"Low Trait First"
"194",10670555,"High Trait First"
"195",10670596,"High Trait First"
"196",10672339,"Low Trait First"
"197",10674365,"High Trait First"
"198",10674376,"High Trait First"
"199",10674406,"High Trait First"
"200",10674432,"Low Trait First"
"201",10681265,"High Trait First"
"202",10682509,"High Trait First"
"203",10682556,"Low Trait First"
"204",10682571,"High Trait First"
"205",10682651,"Low Trait First"
"206",10682709,"Low Trait First"
"207",10682808,"Low Trait First"
"208",10682860,"High Trait First"
"209",10683284,"Low Trait First"
"210",10684799,"Low Trait First"
"211",10692078,"Low Trait First"
"212",10692092,"Low Trait First"
"213",10694243,"Low Trait First"
"214",10694266,"Low Trait First"
"215",10694280,"Low Trait First"
"216",10694331,"Low Trait First"
"217",10694415,"High Trait First"
"218",10694462,"Low Trait First"
"219",10694699,"High Trait First"
"220",10694925,"Low Trait First"
"221",10697516,"Low Trait First"
"222",10702785,"Low Trait First"
"223",10710423,"High Trait First"
"224",10710441,"Low Trait First"
"225",10710615,"Low Trait First"
"226",10712549,"Low Trait First"
"227",10948075,"Low Trait First"
"228",10948122,"High Trait First"
"229",10948126,"Low Trait First"
"230",10951598,"Low Trait First"
"231",10951643,"Low Trait First"
"232",10956924,"Low Trait First"
"233",10956927,"High Trait First"
"234",10958371,"High Trait First"
"235",10958383,"Low Trait First"
"236",10958409,"High Trait First"
"237",10958415,"Low Trait First"
"238",10958624,"Low Trait First"
"239",10958656,"High Trait First"
"240",10963483,"Low Trait First"
"241",10963493,"High Trait First"
"242",10963528,"Low Trait First"
"243",10963535,"Low Trait First"
"244",10963554,"Low Trait First"
"245",10963583,"High Trait First"
"246",10963610,"Low Trait First"
"247",10965904,"Low Trait First"
"248",10965910,"High Trait First"
"249",10966055,"Low Trait First"
"250",10966071,"High Trait First"
"251",10971950,"Low Trait First"
"252",10971951,"Low Trait First"
"253",10971957,"Low Trait First"
"254",10971962,"High Trait First"
"255",10971977,"Low Trait First"
"256",10971986,"Low Trait First"
"257",10971988,"High Trait First"
"258",10972113,"High Trait First"
"259",10972123,"Low Trait First"
"260",10972170,"High Trait First"
"261",10972239,"High Trait First"
"262",10975665,"High Trait First"
"263",10975670,"High Trait First"
"264",10975698,"High Trait First"
"265",10975704,"Low Trait First"
"266",10975712,"Low Trait First"
"267",10975734,"Low Trait First"
"268",10975768,"Low Trait First"
"269",10975770,"Low Trait First"
"270",10977665,"High Trait First"
"271",10977675,"High Trait First"
"272",10977708,"Low Trait First"
"273",10977709,"High Trait First"
"274",10977728,"High Trait First"
"275",10977735,"Low Trait First"
"276",10982622,"Low Trait First"
"277",10982624,"High Trait First"
"278",10982659,"High Trait First"
"279",10982661,"High Trait First"
"280",10982858,"Low Trait First"
"281",10982863,"Low Trait First"
"282",10982924,"High Trait First"
"283",10982956,"Low Trait First"
"284",10984311,"High Trait First"
"285",10984319,"High Trait First"
"286",10985317,"Low Trait First"
"287",10985324,"Low Trait First"
"288",10985338,"High Trait First"
"289",10985339,"High Trait First"
"290",10985359,"Low Trait First"
"291",10985361,"High Trait First"
"292",10985393,"Low Trait First"
"293",10985400,"High Trait First"
"294",10986527,"High Trait First"
"295",10986528,"High Trait First"
"296",10986541,"Low Trait First"
"297",10986545,"High Trait First"
"298",10986564,"High Trait First"
"299",10986568,"High Trait First"
"300",10986585,"Low Trait First"
"301",10986590,"High Trait First"
"302",10989943,"Low Trait First"
"303",10989947,"High Trait First"
"304",10989962,"High Trait First"
"305",10989966,"High Trait First"
"306",10989982,"Low Trait First"
"307",10989985,"Low Trait First"
"308",10989995,"Low Trait First"
"309",10990001,"Low Trait First"
"310",10990591,"Low Trait First"
"311",10990592,"High Trait First"
"312",10990610,"Low Trait First"
"313",10990611,"Low Trait First"
"314",10990623,"High Trait First"
"315",10992883,"Low Trait First"
"316",10993457,"Low Trait First"
"317",10993460,"Low Trait First"
"318",10993464,"High Trait First"
"319",10993469,"High Trait First"
"320",10993490,"Low Trait First"
"321",10993521,"Low Trait First"
"322",10994486,"High Trait First"
"323",10994490,"High Trait First"
"324",10994501,"Low Trait First"
"325",10994503,"High Trait First"
"326",10994525,"Low Trait First"
"327",10994526,"Low Trait First"
"328",10994557,"Low Trait First"
"329",10995659,"High Trait First"
"330",10995680,"Low Trait First"
"331",10995744,"Low Trait First"
"332",10998806,"High Trait First"
"333",10999551,"High Trait First"
"334",10999553,"Low Trait First"
"335",10999554,"High Trait First"
"336",10999573,"Low Trait First"
"337",10999575,"High Trait First"
"338",10999596,"High Trait First"
"339",11003339,"High Trait First"
"340",11003342,"High Trait First"
"341",11003398,"High Trait First"
"342",11146178,"High Trait First"
"343",11146258,"High Trait First"
"344",11146408,"High Trait First"
"345",11151745,"Low Trait First"
"346",11151778,"High Trait First"
"347",11151825,"Low Trait First"
"348",11151924,"High Trait First"
"349",11164412,"High Trait First"
"350",11164535,"Low Trait First"
"351",11164610,"Low Trait First"
"352",11167567,"Low Trait First"
"353",11167736,"Low Trait First"
"354",11167845,"Low Trait First"
"355",11168019,"Low Trait First"
"356",11170434,"Low Trait First"
"357",11173689,"Low Trait First"
"358",11173767,"High Trait First"
"359",11173784,"High Trait First"
"360",11173822,"Low Trait First"
"361",11192555,"High Trait First"
"362",11192568,"Low Trait First"
"363",11192629,"Low Trait First"
"364",11192649,"High Trait First"
"365",11192674,"Low Trait First"
"366",11208995,"High Trait First"
"367",11209055,"High Trait First"
"368",11209104,"High Trait First"
"369",11209231,"Low Trait First"
"370",11209426,"Low Trait First"
"371",11209754,"High Trait First"
"372",11228087,"Low Trait First"
"373",11228120,"Low Trait First"
"374",11228146,"Low Trait First"
"375",11228150,"Low Trait First"
"376",11228204,"High Trait First"
"377",11260998,"High Trait First"
"378",11261045,"High Trait First"
"379",11261049,"Low Trait First"
"380",11276400,"Low Trait First"
"381",11276410,"High Trait First"
"382",11276417,"Low Trait First"
