"","session_id","blockOrder.SE"
"1",10458846,"High Trait First"
"2",10461459,"High Trait First"
"3",10461523,"Low Trait First"
"4",10475013,"High Trait First"
"5",10477279,"Low Trait First"
"6",10479167,"Low Trait First"
"7",10482519,"High Trait First"
"8",10482663,"High Trait First"
"9",10493439,"High Trait First"
"10",10494853,"High Trait First"
"11",10499385,"Low Trait First"
"12",10499387,"High Trait First"
"13",10499907,"High Trait First"
"14",10502013,"Low Trait First"
"15",10506783,"Low Trait First"
"16",10508518,"High Trait First"
"17",10509120,"Low Trait First"
"18",10509125,"Low Trait First"
"19",10509335,"Low Trait First"
"20",10510330,"Low Trait First"
"21",10511921,"High Trait First"
"22",10512571,"High Trait First"
"23",10514998,"High Trait First"
"24",10519322,"Low Trait First"
"25",10520966,"High Trait First"
"26",10521278,"High Trait First"
"27",10521339,"Low Trait First"
"28",10521843,"High Trait First"
"29",10521888,"Low Trait First"
"30",10522210,"Low Trait First"
"31",10523060,"High Trait First"
"32",10523187,"High Trait First"
"33",10525171,"High Trait First"
"34",10525262,"High Trait First"
"35",10525280,"Low Trait First"
"36",10525339,"Low Trait First"
"37",10525343,"High Trait First"
"38",10525378,"High Trait First"
"39",10525401,"Low Trait First"
"40",10527180,"Low Trait First"
"41",10527198,"High Trait First"
"42",10527214,"High Trait First"
"43",10527233,"High Trait First"
"44",10527243,"High Trait First"
"45",10527280,"High Trait First"
"46",10527317,"Low Trait First"
"47",10529781,"Low Trait First"
"48",10529828,"High Trait First"
"49",10529860,"Low Trait First"
"50",10534095,"Low Trait First"
"51",10538295,"High Trait First"
"52",10538314,"High Trait First"
"53",10538345,"Low Trait First"
"54",10538354,"High Trait First"
"55",10538381,"High Trait First"
"56",10538383,"High Trait First"
"57",10540368,"High Trait First"
"58",10540370,"High Trait First"
"59",10540396,"Low Trait First"
"60",10540400,"Low Trait First"
"61",10540470,"Low Trait First"
"62",10540477,"Low Trait First"
"63",10540510,"High Trait First"
"64",10540524,"High Trait First"
"65",10540591,"Low Trait First"
"66",10540596,"High Trait First"
"67",10541089,"Low Trait First"
"68",10542160,"Low Trait First"
"69",10542165,"High Trait First"
"70",10542175,"Low Trait First"
"71",10542183,"Low Trait First"
"72",10542509,"High Trait First"
"73",10543703,"Low Trait First"
"74",10544934,"High Trait First"
"75",10544949,"High Trait First"
"76",10545182,"High Trait First"
"77",10545342,"Low Trait First"
"78",10545362,"High Trait First"
"79",10545691,"Low Trait First"
"80",10545791,"Low Trait First"
"81",10546792,"High Trait First"
"82",10547943,"High Trait First"
"83",10551749,"Low Trait First"
"84",10551805,"High Trait First"
"85",10551908,"Low Trait First"
"86",10551952,"Low Trait First"
"87",10551958,"High Trait First"
"88",10553111,"Low Trait First"
"89",10554684,"High Trait First"
"90",10556654,"Low Trait First"
"91",10556770,"High Trait First"
"92",10558238,"High Trait First"
"93",10558655,"Low Trait First"
"94",10558754,"Low Trait First"
"95",10559286,"High Trait First"
"96",10559389,"High Trait First"
"97",10560555,"Low Trait First"
"98",10560565,"Low Trait First"
"99",10560616,"High Trait First"
"100",10560619,"Low Trait First"
"101",10560652,"High Trait First"
"102",10560661,"Low Trait First"
"103",10560707,"High Trait First"
"104",10560731,"Low Trait First"
"105",10560882,"Low Trait First"
"106",10562842,"Low Trait First"
"107",10565025,"High Trait First"
"108",10565033,"High Trait First"
"109",10565095,"High Trait First"
"110",10565149,"High Trait First"
"111",10565188,"High Trait First"
"112",10567254,"Low Trait First"
"113",10567262,"Low Trait First"
"114",10567348,"Low Trait First"
"115",10567366,"Low Trait First"
"116",10572893,"High Trait First"
"117",10572894,"Low Trait First"
"118",10572910,"Low Trait First"
"119",10572916,"Low Trait First"
"120",10572933,"Low Trait First"
"121",10572937,"High Trait First"
"122",10572954,"High Trait First"
"123",10572955,"Low Trait First"
"124",10572988,"Low Trait First"
"125",10576844,"Low Trait First"
"126",10576853,"High Trait First"
"127",10576891,"Low Trait First"
"128",10576915,"Low Trait First"
"129",10576918,"High Trait First"
"130",10577103,"Low Trait First"
"131",10577129,"High Trait First"
"132",10577240,"High Trait First"
"133",10578649,"Low Trait First"
"134",10578683,"Low Trait First"
"135",10578684,"Low Trait First"
"136",10578704,"Low Trait First"
"137",10583205,"Low Trait First"
"138",10583354,"High Trait First"
"139",10583589,"High Trait First"
"140",10583842,"Low Trait First"
"141",10584079,"High Trait First"
"142",10584383,"High Trait First"
"143",10585275,"High Trait First"
"144",10587275,"Low Trait First"
"145",10587309,"Low Trait First"
"146",10587324,"High Trait First"
"147",10589032,"Low Trait First"
"148",10589605,"High Trait First"
"149",10592439,"Low Trait First"
"150",10594061,"High Trait First"
"151",10594186,"High Trait First"
"152",10594295,"Low Trait First"
"153",10594607,"High Trait First"
"154",10595859,"High Trait First"
"155",10597767,"High Trait First"
"156",10598767,"Low Trait First"
"157",10599599,"Low Trait First"
"158",10599831,"High Trait First"
"159",10600387,"High Trait First"
"160",10609310,"Low Trait First"
"161",10611021,"High Trait First"
"162",10613835,"High Trait First"
"163",10624206,"Low Trait First"
"164",10626908,"High Trait First"
"165",10632367,"High Trait First"
"166",10634249,"High Trait First"
"167",10634726,"Low Trait First"
"168",10637507,"Low Trait First"
"169",10641298,"Low Trait First"
"170",10642309,"Low Trait First"
"171",10645187,"Low Trait First"
"172",10645950,"High Trait First"
"173",10646275,"Low Trait First"
"174",10646384,"Low Trait First"
"175",10646681,"Low Trait First"
"176",10646728,"Low Trait First"
"177",10646867,"Low Trait First"
"178",10650725,"High Trait First"
"179",10657181,"Low Trait First"
"180",10657258,"Low Trait First"
"181",10657529,"High Trait First"
"182",10657562,"High Trait First"
"183",10657956,"High Trait First"
"184",10658164,"High Trait First"
"185",10659019,"High Trait First"
"186",10663088,"High Trait First"
"187",10663129,"High Trait First"
"188",10663237,"High Trait First"
"189",10663276,"High Trait First"
"190",10663498,"Low Trait First"
"191",10669475,"High Trait First"
"192",10670555,"High Trait First"
"193",10670596,"Low Trait First"
"194",10672339,"High Trait First"
"195",10674365,"High Trait First"
"196",10674376,"High Trait First"
"197",10674406,"High Trait First"
"198",10674432,"Low Trait First"
"199",10681265,"Low Trait First"
"200",10682556,"High Trait First"
"201",10682571,"High Trait First"
"202",10682651,"Low Trait First"
"203",10682709,"High Trait First"
"204",10682808,"Low Trait First"
"205",10682860,"High Trait First"
"206",10683284,"Low Trait First"
"207",10684799,"High Trait First"
"208",10692078,"Low Trait First"
"209",10692092,"High Trait First"
"210",10694243,"Low Trait First"
"211",10694266,"Low Trait First"
"212",10694280,"Low Trait First"
"213",10694331,"Low Trait First"
"214",10694415,"High Trait First"
"215",10694462,"Low Trait First"
"216",10694699,"Low Trait First"
"217",10694925,"Low Trait First"
"218",10697516,"High Trait First"
"219",10702785,"Low Trait First"
"220",10710423,"High Trait First"
"221",10710441,"Low Trait First"
"222",10710615,"Low Trait First"
"223",10712549,"High Trait First"
"224",10948075,"Low Trait First"
"225",10948122,"Low Trait First"
"226",10948126,"Low Trait First"
"227",10951598,"Low Trait First"
"228",10951643,"Low Trait First"
"229",10956924,"High Trait First"
"230",10956927,"High Trait First"
"231",10958371,"High Trait First"
"232",10958383,"Low Trait First"
"233",10958409,"Low Trait First"
"234",10958415,"Low Trait First"
"235",10958624,"High Trait First"
"236",10958656,"High Trait First"
"237",10963483,"Low Trait First"
"238",10963493,"Low Trait First"
"239",10963528,"Low Trait First"
"240",10963535,"Low Trait First"
"241",10963554,"High Trait First"
"242",10963583,"High Trait First"
"243",10965904,"Low Trait First"
"244",10965910,"Low Trait First"
"245",10966055,"Low Trait First"
"246",10966071,"Low Trait First"
"247",10971950,"Low Trait First"
"248",10971951,"High Trait First"
"249",10971957,"Low Trait First"
"250",10971962,"High Trait First"
"251",10971977,"Low Trait First"
"252",10971986,"Low Trait First"
"253",10971988,"Low Trait First"
"254",10972113,"High Trait First"
"255",10972123,"High Trait First"
"256",10972170,"Low Trait First"
"257",10972239,"High Trait First"
"258",10975665,"Low Trait First"
"259",10975670,"High Trait First"
"260",10975698,"High Trait First"
"261",10975704,"High Trait First"
"262",10975712,"High Trait First"
"263",10975734,"Low Trait First"
"264",10975768,"High Trait First"
"265",10975770,"High Trait First"
"266",10977665,"Low Trait First"
"267",10977675,"High Trait First"
"268",10977708,"Low Trait First"
"269",10977709,"Low Trait First"
"270",10977728,"Low Trait First"
"271",10977735,"Low Trait First"
"272",10982622,"High Trait First"
"273",10982624,"Low Trait First"
"274",10982659,"Low Trait First"
"275",10982661,"Low Trait First"
"276",10982858,"Low Trait First"
"277",10982863,"High Trait First"
"278",10982924,"Low Trait First"
"279",10982956,"High Trait First"
"280",10984311,"High Trait First"
"281",10984319,"Low Trait First"
"282",10985317,"High Trait First"
"283",10985324,"Low Trait First"
"284",10985338,"Low Trait First"
"285",10985339,"Low Trait First"
"286",10985359,"High Trait First"
"287",10985361,"Low Trait First"
"288",10985393,"High Trait First"
"289",10985400,"Low Trait First"
"290",10986527,"High Trait First"
"291",10986528,"High Trait First"
"292",10986541,"High Trait First"
"293",10986545,"Low Trait First"
"294",10986564,"High Trait First"
"295",10986568,"High Trait First"
"296",10986585,"High Trait First"
"297",10986590,"High Trait First"
"298",10989943,"Low Trait First"
"299",10989947,"Low Trait First"
"300",10989962,"Low Trait First"
"301",10989966,"High Trait First"
"302",10989982,"Low Trait First"
"303",10989985,"Low Trait First"
"304",10989995,"Low Trait First"
"305",10990001,"High Trait First"
"306",10990591,"High Trait First"
"307",10990592,"High Trait First"
"308",10990610,"High Trait First"
"309",10990611,"High Trait First"
"310",10990623,"Low Trait First"
"311",10992883,"Low Trait First"
"312",10993457,"Low Trait First"
"313",10993460,"Low Trait First"
"314",10993464,"Low Trait First"
"315",10993469,"High Trait First"
"316",10993490,"Low Trait First"
"317",10993521,"High Trait First"
"318",10994486,"Low Trait First"
"319",10994490,"High Trait First"
"320",10994501,"High Trait First"
"321",10994503,"Low Trait First"
"322",10994525,"Low Trait First"
"323",10994526,"High Trait First"
"324",10994557,"High Trait First"
"325",10995659,"Low Trait First"
"326",10995680,"Low Trait First"
"327",10995744,"High Trait First"
"328",10998806,"High Trait First"
"329",10999551,"High Trait First"
"330",10999553,"High Trait First"
"331",10999554,"High Trait First"
"332",10999573,"High Trait First"
"333",10999575,"High Trait First"
"334",10999596,"High Trait First"
"335",11003339,"Low Trait First"
"336",11003342,"High Trait First"
"337",11003398,"Low Trait First"
"338",11146178,"High Trait First"
"339",11146258,"Low Trait First"
"340",11146408,"Low Trait First"
"341",11151745,"Low Trait First"
"342",11151778,"High Trait First"
"343",11151825,"High Trait First"
"344",11151924,"High Trait First"
"345",11164412,"High Trait First"
"346",11164535,"High Trait First"
"347",11164610,"High Trait First"
"348",11167567,"High Trait First"
"349",11167736,"Low Trait First"
"350",11167845,"Low Trait First"
"351",11168019,"High Trait First"
"352",11170434,"Low Trait First"
"353",11173689,"Low Trait First"
"354",11173767,"Low Trait First"
"355",11173784,"High Trait First"
"356",11173822,"High Trait First"
"357",11192555,"Low Trait First"
"358",11192568,"High Trait First"
"359",11192629,"Low Trait First"
"360",11192649,"Low Trait First"
"361",11192674,"High Trait First"
"362",11208995,"Low Trait First"
"363",11209055,"High Trait First"
"364",11209104,"High Trait First"
"365",11209231,"High Trait First"
"366",11209426,"Low Trait First"
"367",11209754,"High Trait First"
"368",11228087,"High Trait First"
"369",11228120,"Low Trait First"
"370",11228146,"High Trait First"
"371",11228150,"High Trait First"
"372",11228204,"Low Trait First"
"373",11260998,"High Trait First"
"374",11261045,"Low Trait First"
"375",11261049,"High Trait First"
"376",11276400,"High Trait First"
"377",11276410,"Low Trait First"
"378",11276417,"Low Trait First"
